iata,longitude,latitude,region
AHS,-84.352203,15.4722,Other
AHU,-3.83952,35.177101,Atlantic
AHY,45.535,-20.01583333,Other
AHZ,6.083604,45.087399,Other
AIA,-102.803965,42.052543,Domestic
AIC,168.8257,7.279422,Other
AID,-85.61299896,40.10860062,Other
AIE,144.7307003,-5.145699978,Other
AIF,-50.455983,-22.638601,Other
AIG,23.26000023,6.519999981,Other
AIH,141.2675,-7.342777778,Other
AII,42.72,11.146889,Other
AIK,-81.684998,33.649399,Other
AIL,-78.0236,9.2226,Other
AIM,169.983002,10.2168,Other
AIN,-159.994995,70.638,Domestic
AIO,-95.04689789,41.40729904,Other
AIP,75.758797,31.4338,Atlantic
AIR,-59.457469,-10.187375,South
AIS,176.802209,-2.616233,Pacific
AIT,-159.764008,-18.8309,Pacific
AIU,-158.1190033,-19.96780014,Other
AIV,-88.1978,33.106499,Other
AIW,17.5966,-27.995,Other
AIY,-42.045633,-16.851571,Other
AIZ,-92.54949951,38.09600067,Other
AJA,8.80292,41.923599,Atlantic
AJF,40.09999847,29.78510094,Atlantic
AJI,43.025742,39.655642,Atlantic
AJJ,-14.377214,19.727998,Other
AJK,49.847301,34.1381,Other
AJL,92.619698,23.840599,Atlantic
AJN,44.430044,-12.131047,Other
AJR,19.28190041,65.59030151,Atlantic
AJS,-113.558998,26.7272,Other
AJU,-37.070301,-10.984,South
AJY,8.000109673,16.9659996,Atlantic
AKA,108.87338,32.75696,Pacific
AKB,-174.205994,52.220299,Domestic
AKC,-81.46784,41.037355,Other
AKD,77.056883,20.698931,Other
AKE,13.90359974,-1.139670014,Other
AKF,23.31399918,24.17869949,Atlantic
AKG,142.217307,-3.560504,Other
AKH,47.580502,24.0627,Other
AKI,-161.23106,60.902646,Other
AKJ,142.447006,43.670799,Pacific
AKK,-154.182999,56.938702,Domestic
AKL,174.786331,-37.01199,Pacific
AKM,19.81722222,10.89027778,Other
AKN,-156.651965,58.677845,Domestic
AKO,-103.2220001,40.17559814,Other
AKP,-151.742996,68.133598,Domestic
AKQ,105.231968,-4.611588,Other
AKR,5.301010132,7.246739864,Atlantic
AKS,160.682007,-8.70257,Pacific
AKT,32.9879,34.590401,Other
AKU,80.291702,41.262501,Pacific
AKV,-78.148598,60.8186,Domestic
AKW,49.6772,30.7444,Other
AKX,57.206699,50.2458,Atlantic
AKY,92.870693,20.133165,Pacific
ALA,77.042828,43.354267,Atlantic
ALB,-73.80169678,42.74829865,Domestic
